date,nom_wage,cpi,strikes,time
1990/1/1,10.51,127.5,2,1
1990/2/1,10.64,128,3,2
1990/3/1,10.7,128.6,7,3
1990/4/1,10.68,128.9,5,4
1990/5/1,10.74,129.1,5,5
1990/6/1,10.78,129.9,6,6
1990/7/1,10.81,130.5,1,7
1990/8/1,10.8,131.6,5,8
1990/9/1,10.86,132.5,3,9
1990/10/1,10.92,133.4,2,10
1990/11/1,10.89,133.7,3,11
1990/12/1,10.93,134.2,2,12
1991/1/1,10.97,134.7,0,13
1991/2/1,10.97,134.8,2,14
1991/3/1,11,134.8,1,15
1991/4/1,11.05,135.1,7,16
1991/5/1,11.09,135.6,8,17
1991/6/1,11.13,136,5,18
1991/7/1,11.17,136.2,0,19
1991/8/1,11.18,136.6,4,20
1991/9/1,11.21,137,3,21
1991/10/1,11.25,137.2,6,22
1991/11/1,11.26,137.8,3,23
1991/12/1,11.27,138.2,1,24
1992/1/1,11.24,138.3,0,25
1992/2/1,11.3,138.6,1,26
1992/3/1,11.32,139.1,1,27
1992/4/1,11.36,139.4,4,28
1992/5/1,11.39,139.7,6,29
1992/6/1,11.41,140.1,6,30
1992/7/1,11.43,140.5,1,31
1992/8/1,11.46,140.8,3,32
1992/9/1,11.45,141.1,8,33
1992/10/1,11.47,141.7,5,34
1992/11/1,11.49,142.1,0,35
1992/12/1,11.51,142.3,0,36
1993/1/1,11.55,142.8,2,37
1993/2/1,11.57,143.1,1,38
1993/3/1,11.58,143.3,4,39
1993/4/1,11.63,143.8,2,40
1993/5/1,11.65,144.2,5,41
1993/6/1,11.68,144.3,2,42
1993/7/1,11.69,144.5,3,43
1993/8/1,11.72,144.8,5,44
1993/9/1,11.76,145,4,45
1993/10/1,11.79,145.6,4,46
1993/11/1,11.83,146,3,47
1993/12/1,11.88,146.3,0,48
1994/1/1,11.89,146.3,1,49
1994/2/1,11.97,146.7,2,50
1994/3/1,11.95,147.1,3,51
1994/4/1,11.96,147.2,5,52
1994/5/1,11.98,147.5,4,53
1994/6/1,12.01,147.9,9,54
1994/7/1,12.03,148.4,4,55
1994/8/1,12.06,149,5,56
1994/9/1,12.09,149.3,7,57
1994/10/1,12.12,149.4,4,58
1994/11/1,12.15,149.8,1,59
1994/12/1,12.17,150.1,0,60
1995/1/1,12.2,150.5,1,61
1995/2/1,12.24,150.9,1,62
1995/3/1,12.24,151.2,4,63
1995/4/1,12.25,151.8,3,64
1995/5/1,12.28,152.1,1,65
1995/6/1,12.31,152.4,2,66
1995/7/1,12.39,152.6,3,67
1995/8/1,12.4,152.9,5,68
1995/9/1,12.41,153.1,4,69
1995/10/1,12.44,153.5,5,70
1995/11/1,12.45,153.7,2,71
